reader_id,target_period,book_id,split
r_00001,3,b_046,train
r_00001,3,b_041,train
r_00001,3,b_080,train
r_00001,3,b_048,train
r_00001,3,b_025,train
r_00001,3,b_001,train
r_00001,3,b_044,train
r_00001,3,b_006,train
r_00001,3,b_032,train
r_00001,3,b_066,train
r_00001,3,b_003,train
r_00001,3,b_007,train
r_00001,3,b_035,train
r_00001,3,b_021,train
r_00001,3,b_071,train
r_00001,3,b_012,train
r_00001,3,b_072,train
r_00001,3,b_074,train
r_00001,3,b_077,train
r_00001,3,b_009,train
r_00002,3,b_062,train
r_00002,3,b_038,train
r_00002,3,b_074,train
r_00002,3,b_026,train
r_00002,3,b_044,train
r_00002,3,b_002,train
r_00002,3,b_034,train
r_00002,3,b_073,train
r_00002,3,b_007,train
r_00002,3,b_033,train
r_00002,3,b_009,train
r_00002,3,b_075,train
r_00002,3,b_063,train
r_00002,3,b_020,train
r_00002,3,b_005,train
r_00002,3,b_037,train
r_00002,3,b_012,train
r_00002,3,b_078,train
r_00002,3,b_054,train
r_00002,3,b_055,train
r_00003,3,b_062,train
r_00003,3,b_012,train
r_00003,3,b_028,train
r_00003,3,b_055,train
r_00003,3,b_045,train
r_00003,3,b_067,train
r_00003,3,b_025,train
r_00003,3,b_023,train
r_00003,3,b_051,train
r_00003,3,b_040,train
r_00003,3,b_029,train
r_00003,3,b_011,train
r_00003,3,b_014,train
r_00003,3,b_033,train
r_00003,3,b_021,train
r_00003,3,b_068,train
r_00003,3,b_034,train
r_00003,3,b_037,train
r_00003,3,b_022,train
r_00003,3,b_035,train
r_00004,3,b_071,test
r_00004,3,b_068,test
r_00004,3,b_041,test
r_00004,3,b_051,test
r_00004,3,b_033,test
r_00004,3,b_080,test
r_00004,3,b_072,test
r_00004,3,b_061,test
r_00004,3,b_070,test
r_00004,3,b_042,test
r_00004,3,b_034,test
r_00004,3,b_069,test
r_00004,3,b_001,test
r_00004,3,b_031,test
r_00004,3,b_046,test
r_00004,3,b_064,test
r_00004,3,b_038,test
r_00004,3,b_075,test
r_00004,3,b_036,test
r_00004,3,b_003,test
r_00005,3,b_003,train
r_00005,3,b_013,train
r_00005,3,b_073,train
r_00005,3,b_067,train
r_00005,3,b_056,train
r_00005,3,b_078,train
r_00005,3,b_048,train
r_00005,3,b_006,train
r_00005,3,b_027,train
r_00005,3,b_057,train
r_00005,3,b_055,train
r_00005,3,b_071,train
r_00005,3,b_059,train
r_00005,3,b_024,train
r_00005,3,b_074,train
r_00005,3,b_029,train
r_00005,3,b_023,train
r_00005,3,b_014,train
r_00005,3,b_007,train
r_00005,3,b_009,train
r_00006,3,b_015,train
r_00006,3,b_036,train
r_00006,3,b_030,train
r_00006,3,b_041,train
r_00006,3,b_037,train
r_00006,3,b_029,train
r_00006,3,b_046,train
r_00006,3,b_013,train
r_00006,3,b_058,train
r_00006,3,b_051,train
r_00006,3,b_075,train
r_00006,3,b_012,train
r_00006,3,b_006,train
r_00006,3,b_074,train
r_00006,3,b_056,train
r_00006,3,b_043,train
r_00006,3,b_076,train
r_00006,3,b_040,train
r_00006,3,b_065,train
r_00006,3,b_067,train
r_00007,3,b_029,train
r_00007,3,b_055,train
r_00007,3,b_027,train
r_00007,3,b_067,train
r_00007,3,b_060,train
r_00007,3,b_058,train
r_00007,3,b_050,train
r_00007,3,b_063,train
r_00007,3,b_052,train
r_00007,3,b_016,train
r_00007,3,b_068,train
r_00007,3,b_030,train
r_00007,3,b_008,train
r_00007,3,b_017,train
r_00007,3,b_036,train
r_00007,3,b_025,train
r_00007,3,b_078,train
r_00007,3,b_005,train
r_00007,3,b_046,train
r_00007,3,b_007,train
r_00008,3,b_004,test
r_00008,3,b_038,test
r_00008,3,b_057,test
r_00008,3,b_074,test
r_00008,3,b_055,test
r_00008,3,b_022,test
r_00008,3,b_053,test
r_00008,3,b_048,test
r_00008,3,b_043,test
r_00008,3,b_011,test
r_00008,3,b_047,test
r_00008,3,b_008,test
r_00008,3,b_041,test
r_00008,3,b_023,test
r_00008,3,b_006,test
r_00008,3,b_076,test
r_00008,3,b_067,test
r_00008,3,b_068,test
r_00008,3,b_060,test
r_00008,3,b_034,test
r_00009,3,b_063,train
r_00009,3,b_037,train
r_00009,3,b_041,train
r_00009,3,b_065,train
r_00009,3,b_038,train
r_00009,3,b_074,train
r_00009,3,b_078,train
r_00009,3,b_030,train
r_00009,3,b_002,train
r_00009,3,b_079,train
r_00009,3,b_044,train
r_00009,3,b_031,train
r_00009,3,b_042,train
r_00009,3,b_062,train
r_00009,3,b_027,train
r_00009,3,b_008,train
r_00009,3,b_025,train
r_00009,3,b_012,train
r_00009,3,b_067,train
r_00009,3,b_043,train
r_00010,3,b_039,train
r_00010,3,b_031,train
r_00010,3,b_012,train
r_00010,3,b_021,train
