iter	Logloss
0	0.6783405209
1	0.6641038504
2	0.6509803251
3	0.639615036
4	0.6296080023
5	0.6197363999
6	0.6105593819
7	0.6022306144
8	0.5965900554
9	0.58927561
10	0.5810058318
11	0.5740414017
12	0.5671042677
13	0.5611566174
14	0.5551145023
15	0.5493945625
16	0.5447987221
17	0.5397621867
18	0.5350857541
19	0.5307423963
20	0.5282611341
21	0.5246126491
22	0.5218334622
23	0.5180741879
24	0.5151497841
25	0.5136305997
26	0.5120444802
27	0.5106160891
28	0.5077227689
29	0.5048409837
30	0.5026912237
31	0.50070145
32	0.4984423307
33	0.4961039231
34	0.4943671751
35	0.4921661451
36	0.4908124871
37	0.488879829
38	0.4884039148
39	0.4871643538
40	0.4859689584
41	0.4848404409
42	0.4833870869
43	0.4818528221
44	0.4807334815
45	0.4802083763
46	0.4787131418
47	0.4778178377
48	0.4765895949
49	0.4754332804
50	0.474651557
51	0.4740582263
52	0.4731054412
53	0.4725298184
54	0.4715061879
55	0.4704839771
56	0.4700251921
57	0.469298832
58	0.4687812843
59	0.4683111531
60	0.467671744
61	0.4672093463
62	0.4662744812
63	0.4655828201
64	0.4651601011
65	0.464701421
66	0.4642017017
67	0.4634424371
68	0.4626610787
69	0.4620966812
70	0.46163285
71	0.4610805747
72	0.4604890504
73	0.4600718862
74	0.4597702359
75	0.4593755187
76	0.4587679472
77	0.4583954741
78	0.4578285046
79	0.457431089
80	0.4571174145
81	0.4568262829
82	0.4566100516
83	0.456360406
84	0.4560247021
85	0.455738256
86	0.4553876661
87	0.4551037394
88	0.4550031974
89	0.4546164469
90	0.4543482516
91	0.4541356703
92	0.4536856941
93	0.4533766417
94	0.4530569934
95	0.4527545195
96	0.4525681853
97	0.4522141306
98	0.451901845
99	0.451699834
100	0.4514815758
101	0.4513561938
102	0.4511425999
103	0.4508455247
104	0.4506962889
105	0.4503410278
106	0.4501364831
107	0.4500187016
108	0.4497284085
109	0.4494609871
110	0.4492240735
111	0.4490830158
112	0.4489043598
113	0.4487562447
114	0.4486565865
115	0.4484864424
116	0.4481510743
117	0.4479511783
118	0.4477409831
119	0.4475715586
120	0.4472559304
121	0.447059455
122	0.4469115711
123	0.4467151487
124	0.4466003782
125	0.4464745518
126	0.4461927354
127	0.4461166726
128	0.4460227354
129	0.4458541716
130	0.4456576825
131	0.4454641355
132	0.445304345
133	0.4450837387
134	0.444971861
135	0.4448348619
136	0.4447114247
137	0.4446054869
138	0.4444901456
139	0.4443468399
140	0.4441868816
141	0.4440772473
142	0.4439153008
143	0.4438015891
144	0.4436214904
145	0.4435520212
146	0.4434414083
147	0.4433384582
148	0.4432349144
149	0.4431864857
150	0.4430010495
151	0.4429115218
152	0.4428140053
153	0.4427453447
154	0.4426196752
155	0.4425370272
156	0.442410507
157	0.4422886385
158	0.4421432716
159	0.4420342481
160	0.4419357425
161	0.4417448839
162	0.4416586568
163	0.4415785885
164	0.4415070638
165	0.4414502479
166	0.4413440548
167	0.4412102731
168	0.4410957406
169	0.4410156901
170	0.4408860355
171	0.4407830058
172	0.4407072647
173	0.4405567558
174	0.4404887136
175	0.440396301
176	0.4403705864
177	0.4402019956
178	0.4400802836
179	0.439976881
180	0.4398988485
181	0.4397999677
182	0.439773156
183	0.4397189213
184	0.4396224745
185	0.4395049264
186	0.4394532529
187	0.4393945024
188	0.4393549673
189	0.4392313332
190	0.4391353952
191	0.4390971884
192	0.4390360342
193	0.4389876427
194	0.4389276951
195	0.4388274201
196	0.4387640944
197	0.4386552861
198	0.4385806788
199	0.4384895152
