iter	Passed	Remaining
0	5	1043
1	10	996
2	14	930
3	19	931
4	24	952
5	28	931
6	33	927
7	38	916
8	41	880
9	45	870
10	50	862
11	55	867
12	59	854
13	63	843
14	67	836
15	72	835
16	77	830
17	81	821
18	86	820
19	90	814
20	94	808
21	99	803
22	103	795
23	108	793
24	112	788
25	117	786
26	123	789
27	127	783
28	132	779
29	136	771
30	140	765
31	144	758
32	148	750
33	153	747
34	158	746
35	163	742
36	167	738
37	172	735
38	175	723
39	180	721
40	184	715
41	189	714
42	195	712
43	199	707
44	204	704
45	208	699
46	215	702
47	220	699
48	225	693
49	229	689
50	233	682
51	237	676
52	241	669
53	246	665
54	250	659
55	253	651
56	257	646
57	262	642
58	266	637
59	270	632
60	275	627
61	279	622
62	284	619
63	289	615
64	294	610
65	298	606
66	302	601
67	307	596
68	311	591
69	316	588
70	320	582
71	324	577
72	328	572
73	332	566
74	337	563
75	342	558
76	346	553
77	351	550
78	356	546
79	361	541
80	365	536
81	369	532
82	374	528
83	378	523
84	382	518
85	388	514
86	392	510
87	398	507
88	402	502
89	407	498
90	412	494
91	418	490
92	423	487
93	429	484
94	435	481
95	440	477
96	445	472
97	449	468
98	455	464
99	461	461
100	466	457
101	472	454
102	477	449
103	481	444
104	488	441
105	493	437
106	497	432
107	503	428
108	507	423
109	512	419
110	517	415
111	524	411
112	530	408
113	534	403
114	538	398
115	543	393
116	549	389
117	554	385
118	557	379
119	562	374
120	566	369
121	570	364
122	575	360
123	580	355
124	584	350
125	588	345
126	592	340
127	596	335
128	600	330
129	604	325
130	609	320
131	612	315
132	616	310
133	621	305
134	625	301
135	629	296
136	634	291
137	638	286
138	643	282
139	649	278
140	652	273
141	657	268
142	661	263
143	666	259
144	670	254
145	675	249
146	680	245
147	685	240
148	689	235
149	693	231
150	698	226
151	703	222
152	707	217
153	712	212
154	716	207
155	721	203
156	725	198
157	728	193
158	733	189
159	737	184
160	741	179
161	745	174
162	749	170
163	754	165
164	759	161
165	763	156
166	768	151
167	772	147
168	776	142
169	780	137
170	783	132
171	787	128
172	792	123
173	796	119
174	801	114
175	805	109
176	809	105
177	813	100
178	817	95
179	821	91
180	826	86
181	830	82
182	834	77
183	838	72
184	843	68
185	846	63
186	851	59
187	855	54
188	858	49
189	863	45
190	867	40
191	871	36
192	876	31
193	881	27
194	885	22
195	890	18
196	895	13
197	899	9
198	904	4
199	908	0
