reader_id,age_group,reading_level,favorite_genre,preferred_length
r_00001,12–14,Начальный,Научная фантастика,Короткая
r_00002,15–17,Начальный,Детектив,Средняя
r_00003,12–14,Начальный,Фэнтези,Длинная
r_00004,18+,Продвинутый,Научная фантастика,Короткая
r_00005,15–17,Продвинутый,Психология,Короткая
r_00006,12–14,Средний,История,Длинная
r_00007,15–17,Средний,Приключения,Короткая
r_00008,12–14,Начальный,Научная фантастика,Средняя
r_00009,15–17,Средний,Современная проза,Короткая
r_00010,15–17,Средний,Психология,Короткая
r_00011,12–14,Начальный,Научпоп,Средняя
r_00012,18+,Продвинутый,Научпоп,Длинная
r_00013,15–17,Средний,Детектив,Короткая
r_00014,18+,Средний,Научная фантастика,Короткая
r_00015,18+,Продвинутый,Детектив,Средняя
r_00016,15–17,Средний,Психология,Длинная
r_00017,15–17,Продвинутый,Фэнтези,Средняя
r_00018,15–17,Продвинутый,Научная фантастика,Длинная
r_00019,18+,Продвинутый,Психология,Короткая
r_00020,12–14,Средний,Психология,Длинная
r_00021,15–17,Средний,Современная проза,Средняя
r_00022,18+,Продвинутый,Современная проза,Средняя
r_00023,15–17,Средний,Научпоп,Короткая
r_00024,18+,Продвинутый,История,Длинная
r_00025,12–14,Начальный,Психология,Длинная
r_00026,18+,Продвинутый,Приключения,Длинная
r_00027,18+,Средний,Научная фантастика,Длинная
r_00028,15–17,Средний,Приключения,Длинная
r_00029,18+,Продвинутый,Психология,Короткая
r_00030,18+,Средний,Фэнтези,Средняя
r_00031,18+,Средний,Фэнтези,Средняя
r_00032,18+,Продвинутый,Современная проза,Короткая
r_00033,12–14,Начальный,Научпоп,Длинная
r_00034,12–14,Средний,Психология,Короткая
r_00035,12–14,Начальный,Современная проза,Длинная
r_00036,12–14,Средний,Современная проза,Короткая
r_00037,12–14,Начальный,Приключения,Короткая
r_00038,12–14,Начальный,Научпоп,Средняя
r_00039,18+,Продвинутый,Научная фантастика,Средняя
r_00040,15–17,Начальный,Психология,Длинная
r_00041,15–17,Средний,Приключения,Длинная
r_00042,15–17,Средний,Приключения,Короткая
r_00043,15–17,Начальный,Детектив,Длинная
r_00044,15–17,Средний,Фэнтези,Средняя
r_00045,15–17,Начальный,История,Средняя
r_00046,18+,Продвинутый,Научпоп,Длинная
r_00047,15–17,Средний,Детектив,Короткая
r_00048,12–14,Средний,Фэнтези,Средняя
r_00049,15–17,Продвинутый,Приключения,Короткая
r_00050,18+,Продвинутый,История,Длинная
r_00051,12–14,Средний,Психология,Длинная
r_00052,15–17,Начальный,История,Длинная
r_00053,12–14,Начальный,История,Короткая
r_00054,12–14,Начальный,Приключения,Длинная
r_00055,12–14,Начальный,Современная проза,Длинная
r_00056,12–14,Начальный,Психология,Длинная
r_00057,18+,Продвинутый,Современная проза,Средняя
r_00058,15–17,Средний,История,Средняя
r_00059,12–14,Средний,Современная проза,Короткая
r_00060,15–17,Средний,Детектив,Короткая
r_00061,15–17,Продвинутый,История,Длинная
r_00062,18+,Продвинутый,Психология,Длинная
r_00063,18+,Средний,Научпоп,Короткая
r_00064,12–14,Начальный,Научная фантастика,Короткая
r_00065,15–17,Средний,Психология,Средняя
r_00066,12–14,Начальный,Фэнтези,Длинная
r_00067,18+,Средний,Современная проза,Длинная
r_00068,18+,Продвинутый,Научпоп,Средняя
r_00069,18+,Продвинутый,История,Короткая
r_00070,15–17,Средний,Детектив,Короткая
r_00071,15–17,Начальный,Психология,Средняя
r_00072,15–17,Начальный,Психология,Короткая
r_00073,15–17,Начальный,Детектив,Средняя
r_00074,15–17,Начальный,Детектив,Средняя
r_00075,12–14,Начальный,Современная проза,Длинная
r_00076,15–17,Начальный,Современная проза,Средняя
r_00077,15–17,Средний,Научная фантастика,Средняя
r_00078,18+,Продвинутый,Психология,Длинная
r_00079,15–17,Средний,Детектив,Длинная
r_00080,12–14,Начальный,История,Короткая
r_00081,12–14,Начальный,Научная фантастика,Средняя
r_00082,15–17,Средний,Приключения,Короткая
r_00083,15–17,Начальный,Приключения,Короткая
r_00084,15–17,Начальный,Научная фантастика,Короткая
r_00085,18+,Средний,Научная фантастика,Средняя
r_00086,18+,Продвинутый,Приключения,Короткая
r_00087,12–14,Средний,Детектив,Короткая
r_00088,12–14,Начальный,История,Средняя
r_00089,15–17,Продвинутый,Детектив,Короткая
r_00090,12–14,Начальный,Научная фантастика,Средняя
r_00091,12–14,Начальный,Психология,Средняя
r_00092,15–17,Средний,Научпоп,Длинная
r_00093,18+,Продвинутый,Фэнтези,Длинная
r_00094,18+,Продвинутый,Фэнтези,Длинная
r_00095,15–17,Средний,Научпоп,Длинная
r_00096,12–14,Начальный,Психология,Длинная
r_00097,15–17,Средний,Психология,Длинная
r_00098,15–17,Средний,Современная проза,Длинная
r_00099,12–14,Начальный,Научпоп,Короткая
r_00100,15–17,Начальный,Детектив,Короткая
r_00101,15–17,Средний,Приключения,Длинная
r_00102,12–14,Средний,История,Длинная
r_00103,15–17,Средний,Детектив,Средняя
r_00104,15–17,Средний,Приключения,Средняя
r_00105,12–14,Начальный,Научная фантастика,Короткая
r_00106,18+,Продвинутый,Научпоп,Короткая
r_00107,15–17,Средний,Современная проза,Короткая
r_00108,12–14,Начальный,Фэнтези,Средняя
r_00109,18+,Средний,Научная фантастика,Средняя
r_00110,12–14,Начальный,Современная проза,Средняя
r_00111,12–14,Средний,История,Средняя
r_00112,18+,Продвинутый,История,Средняя
r_00113,12–14,Начальный,Приключения,Короткая
r_00114,15–17,Продвинутый,Психология,Короткая
r_00115,12–14,Начальный,История,Короткая
r_00116,15–17,Средний,Современная проза,Средняя
r_00117,15–17,Продвинутый,Научная фантастика,Короткая
